,label,cluster,id,c0.4,c0.3,c0.25,c0.1,c0.05,cluster.ordered,count,pgkb,drugbank,drug,gene
1275,"(fenofibrate,nf-kappab)",4,1882,6,6,6,102,948,8,6,0,0,fenofibrate,nf-kappab
3432,"(vasopressin,calcitonin)",8,1883,9,9,19,28,32,17,19,0,0,vasopressin,calcitonin
2746,"(propofol,enos)",16,1884,18,24,29,45,949,25,13,0,0,propofol,enos
1974,"(ketamine,hsp70)",11,1885,17,17,18,312,509,18,16,0,0,ketamine,hsp70
12,"(abarelix,gnrh)",4,1886,4,4,4,11,13,8,10,0,0,abarelix,gnrh
2386,"(noradrenaline,vasa)",8,1887,9,47,55,491,950,17,78,0,0,noradrenaline,vasa
1796,"(il-2,gammac)",2,1888,2,32,38,64,923,7,53,0,1,il-2,gammac
317,"(bezafibrate,ppar)",5,1889,21,26,31,63,75,14,32,0,1,bezafibrate,ppar
3357,"(trastuzumab,rac1)",12,1890,22,49,57,237,951,1,8,0,0,trastuzumab,rac1
1956,"(isoproterenol,calcitonin)",11,1891,17,17,18,61,117,18,7,0,0,isoproterenol,calcitonin
593,"(cisplatin,rpa2)",2,1892,2,32,38,120,158,7,5,0,0,cisplatin,rpa2
2260,"(mk-571,leukotriene)",4,1893,4,4,4,5,293,8,20,0,0,mk-571,leukotriene
2287,"(nadh,coq1)",17,1894,20,22,27,204,300,2,9,0,0,nadh,coq1
2665,"(pioglitazone,mmp-9)",5,1895,5,48,56,458,952,14,12,0,0,pioglitazone,mmp-9
2556,"(pertuzumab,her-2)",4,1896,6,18,20,489,945,8,11,1,1,pertuzumab,her-2
2157,"(mephenytoin,cyp2c19)",7,1897,19,20,23,35,248,3,68,1,0,mephenytoin,cyp2c19
2040,"(levetiracetam,sv2a)",4,1898,6,18,20,489,953,8,29,0,1,levetiracetam,sv2a
420,"(carbachol,inositol)",16,1899,18,24,29,59,156,25,382,0,0,carbachol,inositol
2852,"(rapamycin,mcm6)",18,1900,24,31,71,277,435,21,5,0,0,rapamycin,mcm6
2711,"(prednisolone,il-18)",12,1901,22,49,57,133,574,1,5,0,0,prednisolone,il-18
2780,"(protamine,heparan)",23,1902,32,73,86,366,638,16,20,0,0,protamine,heparan
2789,"(pyridostigmine,ghrh)",9,1903,10,10,10,134,954,6,68,0,0,pyridostigmine,ghrh
2942,"(rifampin,cyp2c9)",7,1904,8,8,8,87,230,3,6,0,0,rifampin,cyp2c9
322,"(bisphosphonate,hebp)",18,1905,24,87,114,390,699,21,11,0,0,bisphosphonate,hebp
513,"(chloroquine,tlr9)",4,1906,6,6,6,492,955,8,22,0,1,chloroquine,tlr9
453,"(carvedilol,herg)",12,1907,22,28,34,170,424,1,7,0,1,carvedilol,herg
3481,"(voglibose,glp-1)",16,1908,18,24,29,55,64,25,22,0,0,voglibose,glp-1
2751,"(propofol,ml-1)",8,1909,9,9,19,28,32,17,61,0,0,propofol,ml-1
784,"(cyclosporin,cyclophilin)",22,1910,31,66,77,493,956,22,266,0,1,cyclosporin,cyclophilin
1021,"(digoxin,p-gp)",7,1911,8,8,8,54,114,3,129,1,0,digoxin,p-gp
2500,"(paclitaxel,mdr1)",7,1912,19,20,23,35,957,3,41,0,0,paclitaxel,mdr1
2908,"(resveratrol,erbb2)",11,1913,17,17,18,224,523,18,5,0,0,resveratrol,erbb2
2843,"(rapamycin,hgps)",10,1914,11,11,11,13,267,24,8,0,0,rapamycin,hgps
1922,"(infliximab,copd)",10,1915,11,11,11,13,15,24,6,0,0,infliximab,copd
2361,"(nifedipine,nf-kappab)",3,1916,3,46,54,494,958,20,5,0,0,nifedipine,nf-kappab
886,"(dexamethasone,dheas)",8,1917,9,47,55,234,959,17,16,0,0,dexamethasone,dheas
2714,"(prednisolone,transcortin)",19,1918,25,34,41,495,960,15,18,0,0,prednisolone,transcortin
1321,"(fk506,fkbp51)",22,1919,45,81,99,496,961,22,29,0,0,fk506,fkbp51
1955,"(isoproterenol,beta2ar)",5,1920,21,26,31,63,225,14,11,1,1,isoproterenol,beta2ar
1322,"(fk506,fkbp52)",14,1921,28,37,45,497,962,23,19,0,0,fk506,fkbp52
1323,"(fk506,fkbp59)",14,1922,28,37,45,497,963,23,10,0,0,fk506,fkbp59
2165,"(metformin,dpp-4)",4,1923,6,6,6,41,964,8,39,0,0,metformin,dpp-4
2425,"(octreotide,sstr2)",4,1924,6,18,20,29,965,8,48,0,1,octreotide,sstr2
2613,"(pge2,tgf-alpha)",9,1925,10,10,10,117,154,6,20,0,0,pge2,tgf-alpha
472,"(celecoxib,grp78)",11,1926,17,17,18,307,497,18,6,0,0,celecoxib,grp78
410,"(captopril,endothelin-1)",1,1927,1,1,1,71,85,13,8,0,0,captopril,endothelin-1
2692,"(posaconazole,cyp3a4)",13,1928,14,14,14,125,164,11,11,0,0,posaconazole,cyp3a4
2707,"(prazosin,alpha1)",4,1929,4,60,69,161,226,8,55,0,1,prazosin,alpha1
3387,"(troglitazone,pai-1)",16,1930,18,24,29,227,336,25,14,0,1,troglitazone,pai-1
388,"(candesartan,vegf)",8,1931,9,9,9,80,98,17,7,0,0,candesartan,vegf
2141,"(meloxicam,cox-2)",4,1932,6,6,6,15,215,8,160,0,1,meloxicam,cox-2
2140,"(meloxicam,cox-1)",4,1933,6,6,6,17,20,8,35,0,1,meloxicam,cox-1
986,"(dhea,il-10)",16,1934,18,24,29,55,64,25,10,0,0,dhea,il-10
2163,"(metformin,aromatase)",5,1935,5,25,40,176,966,14,14,0,0,metformin,aromatase
2514,"(palivizumab,icer)",8,1936,9,9,19,28,32,17,7,0,0,palivizumab,icer
3004,"(rosiglitazone,fgf-21)",11,1937,17,17,18,24,28,18,5,0,0,rosiglitazone,fgf-21
1766,"(il-2,bcl1)",2,1938,2,2,2,2,967,7,7,0,0,il-2,bcl1
1665,"(halothane,ml-1)",8,1939,9,9,19,28,333,17,6,0,0,halothane,ml-1
423,"(carbachol,pkc-alpha)",2,1940,2,32,38,120,158,7,8,0,0,carbachol,pkc-alpha
429,"(carbamates,cholinesterase)",13,1941,14,14,14,125,164,11,18,0,0,carbamates,cholinesterase
2156,"(meperidine,il-1)",24,1942,36,52,126,478,919,4,8,0,0,meperidine,il-1
575,"(cisplatin,jak2)",22,1943,45,81,99,498,968,22,5,0,0,cisplatin,jak2
1393,"(formoterol,gm-csf)",13,1944,14,14,68,160,598,11,5,0,0,formoterol,gm-csf
138,"(anakinra,il-1ra)",6,1945,35,51,59,300,969,12,21,0,0,anakinra,il-1ra
1731,"(hydroxyurea,chk1)",1,1946,1,1,1,96,513,13,19,0,0,hydroxyurea,chk1
2792,"(pyridoxal,nifs)",20,1947,26,35,42,424,781,9,11,0,0,pyridoxal,nifs
2244,"(minocycline,parp-1)",4,1948,4,4,107,499,970,8,12,0,0,minocycline,parp-1
607,"(clarithromycin,cyp2c19)",7,1949,8,8,8,197,290,3,14,0,0,clarithromycin,cyp2c19
2706,"(pravastatin,statin)",22,1950,31,40,48,319,971,22,64,0,0,pravastatin,statin
1125,"(erlotinib,cyp3a4)",7,1951,8,8,8,87,108,3,12,1,0,erlotinib,cyp3a4
2476,"(oxytocin,cpla2)",1,1952,1,1,1,334,972,13,9,0,0,oxytocin,cpla2
1362,"(fluoxetine,herg)",12,1953,22,28,34,170,424,1,8,1,0,fluoxetine,herg
616,"(clofibrate,l-fabp)",5,1954,5,25,40,500,973,14,14,0,0,clofibrate,l-fabp
1211,"(estriol,lactogen)",9,1955,10,10,10,101,127,6,9,0,0,estriol,lactogen
3262,"(telmisartan,ppar)",5,1956,21,26,31,49,88,14,36,0,0,telmisartan,ppar
1173,"(estradiol,fasl)",16,1957,18,24,29,45,52,25,13,0,0,estradiol,fasl
3311,"(thyroxine,lactase)",15,1958,16,16,17,23,974,10,21,0,0,thyroxine,lactase
1856,"(imatinib,cyp3a4)",15,1959,16,16,16,22,349,10,26,1,0,imatinib,cyp3a4
1823,"(il-2,lymphokine)",2,1960,2,2,2,2,3,7,326,0,0,il-2,lymphokine
2731,"(procaterol,copd)",10,1961,11,11,11,130,172,24,7,0,0,procaterol,copd
1842,"(il-2,stat6)",1,1962,1,1,1,1,107,13,7,0,0,il-2,stat6
3473,"(vincristine,mdr1)",17,1963,20,69,81,207,975,2,46,0,0,vincristine,mdr1
1840,"(il-2,stat4)",16,1964,18,24,43,162,976,25,17,0,0,il-2,stat4
1841,"(il-2,stat5)",5,1965,5,25,30,65,207,14,112,0,0,il-2,stat5
1399,"(forskolin,bdnf)",2,1966,2,2,2,501,977,7,9,0,0,forskolin,bdnf
1261,"(ezetimibe,npc1l1)",4,1967,6,6,6,231,978,8,87,0,1,ezetimibe,npc1l1
349,"(budesonide,cyp3a)",7,1968,27,36,44,86,979,3,11,0,0,budesonide,cyp3a
844,"(debrisoquine,oct1)",7,1969,8,8,8,106,134,3,7,0,0,debrisoquine,oct1
3350,"(trastuzumab,erbb-2)",4,1970,6,18,20,29,980,8,16,1,1,trastuzumab,erbb-2
755,"(curcumin,p300)",4,1971,6,6,6,93,981,8,19,0,0,curcumin,p300
3308,"(thyrotropin,tsh-r)",6,1972,7,7,22,31,550,12,40,0,0,thyrotropin,tsh-r
1256,"(exemestane,aromatase)",4,1973,6,6,6,148,410,8,182,1,1,exemestane,aromatase
1191,"(estradiol,l-pgds)",16,1974,18,19,21,84,982,25,13,0,0,estradiol,l-pgds
1490,"(gemcitabine,dlts)",8,1975,9,9,19,28,32,17,10,0,0,gemcitabine,dlts
1977,"(ketanserin,5-ht-2)",4,1976,4,4,4,11,557,8,7,0,0,ketanserin,5-ht-2
34,"(adalimumab,icer)",8,1977,9,9,19,28,32,17,6,0,0,adalimumab,icer
1838,"(il-2,stat1)",12,1978,22,28,34,206,303,1,14,0,0,il-2,stat1
333,"(bortezomib,hif-1alpha)",12,1979,13,86,110,502,983,1,6,0,0,bortezomib,hif-1alpha
1839,"(il-2,stat3)",5,1980,5,25,30,65,77,14,41,0,0,il-2,stat3
1110,"(efavirenz,cyp3a4)",16,1981,18,72,85,503,984,25,17,0,0,efavirenz,cyp3a4
3426,"(vasopressin,aquaporin-2)",11,1982,12,12,12,16,985,18,111,0,0,vasopressin,aquaporin-2
1821,"(il-2,ldlr)",9,1983,10,10,10,12,986,6,6,0,0,il-2,ldlr
929,"(dexamethasone,muc1)",16,1984,18,19,21,84,982,25,10,0,0,dexamethasone,muc1
696,"(creatine,gapdh)",20,1985,26,35,42,387,693,9,8,0,0,creatine,gapdh
1319,"(fk506,fkbp12)",14,1986,28,37,45,193,284,23,223,0,0,fk506,fkbp12
1499,"(gemcitabine,vegf)",8,1987,9,9,9,10,987,17,10,0,0,gemcitabine,vegf
105,"(amd3100,cxcr4)",4,1988,4,60,69,161,988,8,261,0,1,amd3100,cxcr4
740,"(curcumin,inos)",16,1989,18,24,29,62,989,25,27,0,0,curcumin,inos
1515,"(genistein,cftr)",5,1990,5,5,5,44,990,14,106,0,0,genistein,cftr
3328,"(tolbutamide,sur1)",4,1991,6,6,6,17,20,8,24,0,1,tolbutamide,sur1
1725,"(hydrocortisone,lactase)",3,1992,3,3,3,244,369,20,11,0,0,hydrocortisone,lactase
2062,"(losartan,ace2)",1,1993,1,1,1,1,502,13,10,0,0,losartan,ace2
1568,"(gliclazide,sur1)",4,1994,4,4,4,5,342,8,7,0,1,gliclazide,sur1
2309,"(naloxone,adrenocorticotropin)",13,1995,14,14,14,20,991,11,13,0,0,naloxone,adrenocorticotropin
2967,"(ritonavir,cyp3a4)",15,1996,16,16,16,22,349,10,53,1,0,ritonavir,cyp3a4
3112,"(sorafenib,b-raf)",4,1997,6,6,6,139,992,8,21,0,0,sorafenib,b-raf
863,"(dexamethasone,ampk)",3,1998,3,3,3,4,382,20,7,0,0,dexamethasone,ampk
3306,"(thyroglobulin,megalin)",6,1999,7,7,22,121,993,12,12,0,0,thyroglobulin,megalin
758,"(curcumin,ppargamma)",5,2000,5,25,30,47,994,14,30,0,0,curcumin,ppargamma
2272,"(montelukast,leukotriene)",4,2001,4,60,69,161,226,8,215,0,0,montelukast,leukotriene
2776,"(prostacyclin,il-1)",9,2002,10,23,28,85,104,6,15,0,0,prostacyclin,il-1
2223,"(mibefradil,cyp3a4)",13,2003,14,14,68,395,705,11,15,0,0,mibefradil,cyp3a4
1085,"(doxorubicin,top2a)",4,2004,6,6,6,250,995,8,6,1,1,doxorubicin,top2a
707,"(ctla4ig,cd28)",5,2005,21,26,31,240,798,14,31,0,0,ctla4ig,cd28
1429,"(fulvestrant,aromatase)",4,2006,4,4,4,219,996,8,37,0,0,fulvestrant,aromatase
5,"(4-methylumbelliferone,udp-glucuronosyltransferase)",17,2007,20,69,81,207,975,2,11,0,0,4-methylumbelliferone,udp-glucuronosyltransferase
2142,"(meloxicam,cyclooxygenase-1)",8,2008,9,9,19,56,937,17,15,0,1,meloxicam,cyclooxygenase-1
3361,"(triamcinolone,vegf)",16,2009,18,24,43,504,997,25,16,0,0,triamcinolone,vegf
1403,"(forskolin,creb)",5,2010,5,25,30,65,207,14,76,0,0,forskolin,creb
725,"(curcumin,ctgf)",16,2011,18,24,29,62,128,25,14,0,0,curcumin,ctgf
2143,"(meloxicam,cyclooxygenase-2)",4,2012,6,6,6,148,784,8,51,0,1,meloxicam,cyclooxygenase-2
2682,"(pitavastatin,enos)",5,2013,5,25,30,114,998,14,14,0,0,pitavastatin,enos
2322,"(naproxen,cox-1)",4,2014,6,6,6,102,199,8,23,0,1,naproxen,cox-1
2323,"(naproxen,cox-2)",13,2015,14,14,14,20,24,11,35,0,1,naproxen,cox-2
467,"(celecoxib,cox2)",4,2016,6,6,6,95,999,8,16,0,0,celecoxib,cox2
1704,"(hyaluronate,cd44)",6,2017,7,7,22,121,1000,12,162,0,1,hyaluronate,cd44
2551,"(perifosine,mtor)",4,2018,6,6,6,14,181,8,6,0,0,perifosine,mtor
2299,"(nadh,ndh2)",12,2019,13,13,13,420,774,1,7,0,0,nadh,ndh2
49,"(aldosterone,aqp2)",11,2020,12,12,12,16,865,18,14,0,0,aldosterone,aqp2
2482,"(oxytocin,pla2)",11,2021,17,17,18,224,1001,18,7,0,0,oxytocin,pla2
1826,"(il-2,ml-1)",9,2022,10,10,10,505,1002,6,12,0,0,il-2,ml-1
1589,"(gm-csf,cd14)",24,2023,36,98,128,506,1003,4,84,0,0,gm-csf,cd14
455,"(carvedilol,p-gp)",7,2024,27,36,44,86,670,3,9,1,0,carvedilol,p-gp
301,"(beta-estradiol,lhrh)",11,2025,17,17,18,61,1004,18,15,0,0,beta-estradiol,lhrh
3047,"(saxagliptin,dpp-4)",4,2026,6,6,6,150,213,8,28,0,1,saxagliptin,dpp-4
3039,"(salbutamol,ifn-gamma)",18,2027,24,31,71,507,1005,21,6,0,0,salbutamol,ifn-gamma
2837,"(rapamycin,folliculin)",20,2028,26,35,42,387,693,9,5,0,0,rapamycin,folliculin
2250,"(mitomycin,nqo1)",17,2029,20,22,27,306,496,2,27,0,0,mitomycin,nqo1
425,"(carbachol,rap1)",1,2030,1,1,1,1,107,13,7,0,0,carbachol,rap1
1335,"(fk506,ryr2)",1,2031,1,91,118,410,743,13,10,0,0,fk506,ryr2
1659,"(haloperidol,penk)",2,2032,2,75,88,253,385,7,5,0,0,haloperidol,penk
1023,"(diltiazem,cyp3a4)",13,2033,14,14,14,125,164,11,17,1,0,diltiazem,cyp3a4
1758,"(il-1rn,il-1)",4,2034,4,60,69,508,1006,8,45,0,0,il-1rn,il-1
1174,"(estradiol,gfap)",14,2035,28,37,45,235,1007,23,14,0,0,estradiol,gfap
657,"(collagenase,mmp13)",17,2036,20,69,81,509,1008,2,6,0,0,collagenase,mmp13
2036,"(leuprolide,lhrh)",5,2037,21,33,39,156,214,14,32,0,0,leuprolide,lhrh
1266,"(felbamate,cyp3a4)",7,2038,19,20,25,37,1009,3,9,0,0,felbamate,cyp3a4
2314,"(naloxone,dynorphin)",16,2039,23,30,36,510,1010,25,93,0,0,naloxone,dynorphin
576,"(cisplatin,mad2)",8,2040,9,9,19,28,279,17,8,0,0,cisplatin,mad2
1732,"(hydroxyurea,ifn-alpha)",2,2041,2,2,2,3,1011,7,27,0,0,hydroxyurea,ifn-alpha
3062,"(sildenafil,abcb1)",17,2042,20,22,27,306,496,2,6,0,0,sildenafil,abcb1
1267,"(felodipine,cyp3a4)",7,2043,8,8,8,87,108,3,10,1,0,felodipine,cyp3a4
2495,"(paclitaxel,g-csf)",2,2044,2,2,2,79,95,7,87,0,0,paclitaxel,g-csf
3151,"(streptozocin,niddm)",11,2045,12,71,84,338,569,18,9,0,0,streptozocin,niddm
566,"(cisplatin,ghrelin)",3,2046,3,3,3,244,369,20,10,0,0,cisplatin,ghrelin
3358,"(trastuzumab,vegf)",16,2047,18,19,21,321,741,25,11,0,0,trastuzumab,vegf
877,"(dexamethasone,cd40l)",3,2048,3,46,54,359,663,20,6,0,0,dexamethasone,cd40l
1591,"(gm-csf,cd40)",1,2049,1,59,97,287,459,13,28,0,0,gm-csf,cd40
3133,"(sr141716a,cb1r)",4,2050,4,4,4,11,557,8,11,0,0,sr141716a,cb1r
1753,"(il-1ra,il-1)",4,2051,4,60,69,318,1012,8,1965,0,0,il-1ra,il-1
355,"(bupivacaine,trek-1)",13,2052,14,14,14,20,227,11,5,0,0,bupivacaine,trek-1
1590,"(gm-csf,cd34)",10,2053,33,94,123,464,1013,24,184,0,0,gm-csf,cd34
1236,"(etoposide,cyp3a4)",7,2054,19,20,25,470,1014,3,14,0,0,etoposide,cyp3a4
2109,"(melatonin,aromatase)",22,2055,31,43,80,433,1015,22,49,0,0,melatonin,aromatase
1380,"(fluvastatin,enos)",11,2056,17,17,18,224,339,18,15,0,0,fluvastatin,enos
759,"(curcumin,prl-3)",20,2057,37,64,74,183,264,9,8,0,0,curcumin,prl-3
2844,"(rapamycin,hif-1alpha)",5,2058,5,25,40,511,1016,14,24,0,0,rapamycin,hif-1alpha
1865,"(imatinib,pdgfr)",4,2059,6,6,6,95,1017,8,129,1,1,imatinib,pdgfr
2343,"(neomycin,inositol)",18,2060,34,58,66,512,1018,21,66,0,0,neomycin,inositol
493,"(cetuximab,her1)",13,2061,14,14,14,20,1019,11,6,0,1,cetuximab,her1
1810,"(il-2,il-1ra)",6,2062,35,51,59,280,1020,12,18,0,0,il-2,il-1ra
2438,"(oltipraz,gsta2)",2,2063,2,32,38,112,142,7,15,0,0,oltipraz,gsta2
1599,"(gm-csf,factor-1)",9,2064,10,23,28,85,105,6,6,0,0,gm-csf,factor-1
376,"(calcitriol,fgf23)",16,2065,18,24,29,55,1021,25,16,0,0,calcitriol,fgf23
3364,"(trifluoperazine,calmodulin)",4,2066,4,4,4,294,1022,8,550,0,1,trifluoperazine,calmodulin
661,"(collagenase,timp-1)",14,2067,15,15,15,513,1023,23,80,0,0,collagenase,timp-1
1465,"(g-csf,vegf)",2,2068,2,2,2,26,30,7,20,0,0,g-csf,vegf
662,"(collagenase,timp-2)",12,2069,22,49,120,427,787,1,30,0,0,collagenase,timp-2
2034,"(letrozole,aromatase)",4,2070,6,6,6,148,410,8,344,1,1,letrozole,aromatase
1835,"(il-2,pthrp)",11,2071,17,17,18,137,647,18,9,0,0,il-2,pthrp
3499,"(zd1839,egfr)",4,2072,6,6,6,95,1024,8,183,0,1,zd1839,egfr
3394,"(troleandomycin,cyp3a4)",4,2073,6,6,6,150,1025,8,22,0,0,troleandomycin,cyp3a4
790,"(cyclosporin,il-5)",8,2074,9,9,19,28,279,17,14,0,0,cyclosporin,il-5
826,"(dantrolene,ryr1)",4,2075,6,80,96,514,1026,8,10,0,1,dantrolene,ryr1
3416,"(valspodar,p-gp)",4,2076,6,6,6,95,1027,8,26,1,0,valspodar,p-gp
1649,"(gw572016,egfr)",18,2077,30,39,47,515,1028,21,19,1,1,gw572016,egfr
230,"(atra,apr3)",8,2078,9,9,9,10,987,17,8,0,0,atra,apr3
2,"(2-methoxyestradiol,comt)",15,2079,16,27,93,516,1029,10,14,0,0,2-methoxyestradiol,comt
97,"(allopurinol,oxidoreductase)",4,2080,6,6,6,102,273,8,21,0,0,allopurinol,oxidoreductase
3381,"(troglitazone,hmcs)",8,2081,9,9,19,28,32,17,5,0,0,troglitazone,hmcs
2956,"(rimonabant,srebp-1c)",21,2082,29,38,46,94,177,19,5,0,0,rimonabant,srebp-1c
939,"(dexamethasone,osteopontin)",1,2083,1,1,1,334,562,13,5,0,0,dexamethasone,osteopontin
997,"(diazoxide,sur1)",1,2084,1,1,1,1,107,13,21,0,0,diazoxide,sur1
1442,"(g-csf,flt-3)",9,2085,10,23,28,85,105,6,8,0,0,g-csf,flt-3
1948,"(isoniazid,inha)",4,2086,6,6,6,238,1030,8,75,0,1,isoniazid,inha
2166,"(metformin,g6pase)",3,2087,3,46,54,517,1031,20,9,0,0,metformin,g6pase
86,"(alemtuzumab,cd52)",4,2088,6,18,20,29,216,8,111,0,1,alemtuzumab,cd52
1724,"(hydrocortisone,icam-1)",8,2089,9,9,9,69,83,17,7,0,0,hydrocortisone,icam-1
829,"(dasatinib,epha2)",5,2090,5,5,5,518,1032,14,12,0,1,dasatinib,epha2
3485,"(voriconazole,cyp3a4)",15,2091,16,27,33,168,470,10,13,0,0,voriconazole,cyp3a4
1346,"(fluconazole,ml-1)",16,2092,18,21,32,519,1033,25,40,0,0,fluconazole,ml-1
459,"(ceftazidime,g-csf)",8,2093,38,61,70,520,1034,17,11,0,0,ceftazidime,g-csf
1913,"(indomethacin,nur77)",2,2094,2,32,38,245,373,7,6,0,0,indomethacin,nur77
767,"(curcumin,trxr1)",4,2095,6,6,6,521,1035,8,6,0,0,curcumin,trxr1
1510,"(genistein,bcl-2)",16,2096,18,24,29,62,1036,25,34,0,0,genistein,bcl-2
1905,"(indomethacin,mcp-1)",16,2097,18,24,29,428,1037,25,6,0,0,indomethacin,mcp-1
3313,"(thyroxine,shbg)",5,2098,5,25,40,107,1038,14,6,0,0,thyroxine,shbg
3379,"(troglitazone,e-cadherin)",8,2099,9,9,9,10,291,17,6,0,0,troglitazone,e-cadherin
161,"(ara-c,bcl-2)",2,2100,2,2,2,2,1039,7,50,0,0,ara-c,bcl-2
654,"(collagenase,mmp-8)",17,2101,20,22,27,522,1040,2,47,0,0,collagenase,mmp-8
793,"(cyclosporin,p-gp)",15,2102,16,27,33,51,1041,10,113,0,0,cyclosporin,p-gp
655,"(collagenase,mmp-9)",14,2103,28,37,45,523,1042,23,82,0,0,collagenase,mmp-9
421,"(carbachol,mucin)",11,2104,17,17,18,61,117,18,22,0,0,carbachol,mucin
3222,"(tamoxifen,cyp2c9)",4,2105,6,6,6,41,71,8,9,1,0,tamoxifen,cyp2c9
1422,"(forskolin,phospholipase)",21,2106,29,38,46,94,177,19,23,0,0,forskolin,phospholipase
2443,"(omeprazole,adenosinetriphosphatase)",13,2107,14,14,14,125,164,11,6,0,0,omeprazole,adenosinetriphosphatase
1863,"(imatinib,nqo2)",4,2108,6,18,104,524,1043,8,11,0,0,imatinib,nqo2
3162,"(sulfasalazine,etanercept)",9,2109,10,23,28,255,390,6,31,0,0,sulfasalazine,etanercept
843,"(debrisoquine,cyp2d6)",7,2110,19,20,26,214,1044,3,198,1,0,debrisoquine,cyp2d6
653,"(collagenase,mmp-2)",14,2111,28,37,45,525,1045,23,87,0,0,collagenase,mmp-2
3079,"(simvastatin,hmgb1)",16,2112,18,24,29,526,1046,25,5,0,0,simvastatin,hmgb1
3223,"(tamoxifen,cyp2d6)",7,2113,19,20,23,35,348,3,248,0,0,tamoxifen,cyp2d6
2198,"(methotrexate,rfc1)",7,2114,8,8,8,87,230,3,15,0,0,methotrexate,rfc1
1602,"(gm-csf,g-csf)",2,2115,2,2,2,3,22,7,506,0,0,gm-csf,g-csf
1445,"(g-csf,gm-csf)",2,2116,2,2,2,3,22,7,506,0,0,g-csf,gm-csf
3217,"(tamoxifen,appd)",9,2117,10,23,28,42,493,6,5,0,0,tamoxifen,appd
1157,"(estradiol,comt)",7,2118,8,8,8,527,1047,3,21,0,0,estradiol,comt
1394,"(formoterol,pp2a)",5,2119,5,25,30,47,621,14,5,0,0,formoterol,pp2a
393,"(capsaicin,beta-endorphin)",8,2120,9,9,19,28,32,17,11,0,0,capsaicin,beta-endorphin
2939,"(ribavirin,ifn-alpha)",2,2121,2,2,2,2,3,7,108,0,0,ribavirin,ifn-alpha
1592,"(gm-csf,cd80)",1,2122,1,1,1,334,562,13,22,0,0,gm-csf,cd80
2805,"(quinidine,cyp3a)",17,2123,20,69,81,207,975,2,13,0,0,quinidine,cyp3a
1686,"(hyaluronan,ec-sod)",12,2124,22,28,101,336,564,1,5,0,0,hyaluronan,ec-sod
1226,"(ethosuximide,cyp3a)",17,2125,20,69,81,528,1048,2,6,0,0,ethosuximide,cyp3a
1593,"(gm-csf,cd86)",16,2126,18,24,29,55,1021,25,23,0,0,gm-csf,cd86
2078,"(lovastatin,bcl-2)",8,2127,9,9,19,28,32,17,11,0,0,lovastatin,bcl-2
228,"(atorvastatin,vegf)",16,2128,18,24,29,421,924,25,27,0,0,atorvastatin,vegf
1079,"(doxorubicin,pten)",5,2129,21,33,39,233,353,14,24,0,0,doxorubicin,pten
814,"(cysteamine,cystinosis)",10,2130,11,11,11,130,172,24,128,0,0,cysteamine,cystinosis
352,"(budesonide,vegf)",16,2131,18,24,29,59,146,25,16,0,0,budesonide,vegf
1973,"(ketamine,bdnf)",8,2132,9,9,19,28,32,17,18,0,0,ketamine,bdnf
2325,"(naringenin,herg)",22,2133,45,81,99,529,1049,22,9,0,0,naringenin,herg
2365,"(nimesulide,cox-2)",4,2134,6,6,6,15,215,8,218,1,1,nimesulide,cox-2
1448,"(g-csf,il-10)",2,2135,2,2,2,3,4,7,25,0,0,g-csf,il-10
726,"(curcumin,cyclooxygenase-2)",16,2136,23,30,111,530,1050,25,20,0,0,curcumin,cyclooxygenase-2
2364,"(nimesulide,cox-1)",13,2137,14,14,14,339,570,11,20,0,0,nimesulide,cox-1
1449,"(g-csf,il-11)",2,2138,2,2,2,3,4,7,20,0,0,g-csf,il-11
1739,"(il-11,g-csf)",2,2139,2,2,2,3,4,7,20,0,0,il-11,g-csf
3130,"(spermine,trna)",15,2140,16,27,93,347,593,10,46,0,0,spermine,trna
2753,"(propofol,pkc-alpha)",12,2141,22,28,34,83,102,1,5,0,0,propofol,pkc-alpha
666,"(corticosteroids,aqp1)",16,2142,18,24,43,162,1051,25,9,0,0,corticosteroids,aqp1
2864,"(rapamycin,pi3-kinase)",20,2143,37,56,64,394,1052,9,17,0,0,rapamycin,pi3-kinase
728,"(curcumin,egfr)",3,2144,3,46,54,531,1053,20,18,0,0,curcumin,egfr
1450,"(g-csf,il-17)",2,2145,2,2,2,3,4,7,21,0,0,g-csf,il-17
3510,"(zolpidem,cyp3a)",13,2146,14,14,14,145,676,11,7,0,0,zolpidem,cyp3a
852,"(desferrioxamine,hif-1)",1,2147,1,1,1,1,107,13,13,0,0,desferrioxamine,hif-1
200,"(atazanavir,p-gp)",18,2148,24,31,71,277,1054,21,8,0,0,atazanavir,p-gp
613,"(clofibrate,acyltransferase)",1,2149,1,1,1,334,972,13,10,0,0,clofibrate,acyltransferase
503,"(chloramphenicol,hsp70)",16,2150,18,21,24,122,795,25,13,0,0,chloramphenicol,hsp70
3152,"(su11248,vegf)",4,2151,4,4,4,5,1055,8,13,1,0,su11248,vegf
65,"(aldosterone,k-ras)",5,2152,5,25,40,532,1056,14,9,0,0,aldosterone,k-ras
1330,"(fk506,il-13)",8,2153,9,9,9,69,83,17,5,0,0,fk506,il-13
645,"(colchicine,gm-csf)",8,2154,9,9,9,88,109,17,10,0,0,colchicine,gm-csf
1036,"(dobutamine,mcp-1)",8,2155,9,9,9,69,83,17,5,0,0,dobutamine,mcp-1
